stars,comment
5,nhân_viên giao hàng nói_chuyện rất tốt hướng_dẫn tận_tình cho còn hàng thì hơi xọp bên trong nhưng cũng không có xấu gì không sao cả nói_chung là đợi dùng rồi mới biết
5,hàng đẹp nhưng su dung rồi mới biết
5,hàng đẹp chất_lượng nhưng độ bền chưa dùng nên chưa biết giáo hàng rất chậm
5,không biết nói thế_nào thật tuyệt_vời
5,kích_cỡ khá to nhưng nhìn mẫu_mã đẹp tốt dây sạc không sử_dụng được sao
3,mới nhận chưa bít ra sao nhưng hộp để tên khác với cục sạt không bít làm thế_nào để mở sáng đèn leg hay đèn để trag trí cho đẹp thoi
5,tuyệt_vời rất tốt
4,nghe quảng_cáo là mah ngày đầu dùng bình_thường không sao nhưng những ngày sau sạc rất chập_chờn màn_hình hiện mà mình sạc có một lần là đã hết thì sạc được một lúc là hết_mình không biết đây là lỗi sản_phẩm hay gì nữa mong cửa_hàng giải_đáp hộ mình đánh_giá tạm sao để theo_dõi tình_trạng tiếp nhé
5,pin trâu sạc nhanh mong là ô phải bảo_hành đặt bị delay đợt nên mất phải gần tuần nhưng đc cái đóng_gói cẩn_thận
1,thay nhieu nguoi khen sac tốt qua ma sao den toi mua sac không day chiec_dt da_can pin roi qua that_vong
5,mỏng cực_kì nha nhẹ nữa thiết_kế sang_trọng hồi giờ mới thấy sạc dự_phòng có hai cái đèn_pin chính hãng của cửa_hàng luôn sài rất thích sạc chất_lượng sạc được nhiều lần cảm_ơn cửa_hàng rất nhiều thời_gian đ sẽ đánh_giá lại
5,hàng đẹp bao_bì chắc_chắn đã mua lần rồi nay mua tiếp lần dung_lượng thât khoản mah như_vậy là tuyệt rồi với gia mấy ủng_hộ cửa_hàng sản_phẩm nên mua
5,sản_phẩm đẹp như quảng_cáo chất_lượng thì mới bắt_đầu sử_dụng nên chưa biết thế_nào nếu tốt luôn sẽ còn ủng_hộ dài_dài giao hàng nhanh
5,nhận_xét sản_phẩm không dfusng dung_lượng thế_là cửa_hàng gọi tư_vấn nhiệt_tình hướng_dẫn cách sạc có chính_sách bảo_hành tạm_thời cho sao để sử_dụng sạc thêm thời_gian
5,sạc mỏng nhẹ dung_lượng ổn dùng thời_gian rồi không bị phồng rất chất_lượng
5,đóng_gói kĩ nhưng bên giao hàng mạnh_tay hay sao nê hơi mốp bù lại sản_phẩm đẹp tốt dùng lâu mới bình_thường đc dung_lượng
5,mới nhận sản_phẩm hôm_nay cảm_quan ban_đầu là sản_phẩm đẹp mỏng nhẹ đèn_pin sáng sạc thử cho điện_thoại thấy vào pin nhanh không nóng cảm_ơn a_nha
3,hàng không như mong_đợi sạc không được lần xiaomi pin mah
1,sạc báo mà sạc vào điện_thoại đc là hết sạch giờ sạc điện vào cục sạc không đc nữa phí tiền
5,sản_phẩm nhận thì vỏ móp mép lại còn bị bóc góc như hình ng giao hàng ng_ta cũng công_nhận nhận hàng thì hàng tuần mới nhận được
5,nhận hàng đóng_gói rất kỷ nhìn bề_ngoài đẹp mở ra thấy hơi to tí đang dùng thử thấy tạm ổn không biết có đúng dung_lượng cửa_hàng đưa ra không nhìn_chung thấy tốt cho cửa_hàng sao sẽ xem những sản_phẩm của cửa_hàng để ũng hộ
5,đè_nghị được đổi hàng sạc đang sạc dô được dô máy thì hết pin
1,tốt product and price as described
5,hàng tốt lắm quá tốt
