stars,comment
1,hàng bị bể trong quá_trình vân chuyển nghi_vấn bể trước khi đóng_gói bộ khay mứt có dấu_hiệu dán băng_keo chẳng hiểu lazada đóng_gói kiểu gì mở quà của không luôn
1,mình đặt bình mà cửa_hàng gửi cùng màu
1,đăng ảnh mua tả khuyến_mãi quà tặng cho bé giao hàng chẳng thấy quà tặng đâu giống lừa người khác mua hàng vậy xác_định không có tặng thì đừng đăng nhé cửa_hàng
1,giao hàng không đúng yêu_cầu trả hàng thừ từ_chối chất_lượng dịch_vụ không đáng_giá sao tẩy_chay cửa_hàng này
1,do te choi được lan không sạc pin được bo_luon
1,đã nhận hàng nhưng chưa dùng thử trên web ghi là tặng kèm muỗng nhưng thực_tế là muỗng chênh_lệch không đáng_kể nhưng vẫn thấy giống như lừa_dối người mua_vậy
1,không biết hàng bán có giả không nhưng nói_chung là kém chất_lượng con xài bị hăm và bị lở_loét bên háng nhìn tội_gì đâu keo dán thì không dính bán đồ cho trẻ_em dùng thì làm_ơn đừng bán loại kém chất_lượng
1,hàng quá kém mới mà đã hỏng
1,tã quần ghi là tặng miếng nhưng khi giao hàng không kèm theo bịch nhỏ miếng cửa_hàng làm_ăn_không uy_tín sẽ không mua lần sau
1,mua bình nj uống chắc bị ung_thư quá
1,mua bịch mà không nhận được voucher tini word nào
1,xe chay khoan mình la tu chay vong tron ha te quá
1,không giữ được nhiệt tí nào bỏ đá vào vài tiếng là tan sạch có_thể do phần nắp làm kém vì xung_quanh và trên nắp thường_xuyên bị rịn nước không nên mua
1,sao trong hình tặng gối mà giao lại không có gối vậy cửa_hàng
1,sao không có qua tăng vay lua nhau a
1,bên đây làm_ăn kiểu gì không biết mình mua lần đầu bình cộng cây rửa lúc giao thì thiếu mất cây_cọ rửa mình nhắn_tin hỏi thì bảo quên okay không vấn_đề gì vì mình định mua thêm bình nữa nên bảo cửa_hàng bỏ thêm vào vẫn không đưa không chẳng nhiều mà làm_ăn kiểu này thì nên xem_lại
1,đánh_giá lại xài đúng tháng không còn giữ đc nhiệt gì cả
1,mình mua tổng_cộng bịch nhưng không nhận được voucher tiniworld nào
1,đóng_gói hàng thủy_tinh không cẩn_thận làm bể cái đã không muốn nói public nên inbox cửa_hàng hứa nạp card tra tien lai nhưng nhắc mấy lần vẫn im luôn cam thay rat buc_minh
1,hàng mua check code không có sữa tan ngay không tan từ từ như đã từng được uống mua hộp thì hộp bị móp méo mà không phải do lỗi vận_chuyển vì nếu vẫn chuyển chỉ bị cấn đằng này giấy trên mặt thể_hiện rõ do kém chất_lượng
1,bình không đẹp mấy mua cái bị lỗi cái mẻ miễng còn cái còn lại thì không được trơn truôn lắm
1,bình nước mua được ngày để nước_lạnh thì phần nắp bị mồ_hôi hỏi cửa_hàng thì cửa_hàng nói bình_thường không bị lỗi sản_phẩm để giá không mà làm như đồ rẻ_tiền
1,đóng_gói qua_loa không chắc_chắn như các đơn_vị khác lại không có voucher tiniworld như quảng_cáo dịch_vụ của lazada quá kém thất_vọng
1,mình mua con mà bị bung chỉ con
1,như đồ sử_dụng rồi vậy cho miếng ron mà không dính vào nắp thì không_lẽ mỗi lần dùng phải chêm ron vào như sửa ống nước hay sao d
1,hàng đúng mẫu đánh_giá sao vì đơn trong hàng giao có dép giao sai cỡ
1,bàn_cờ gỗ rất mỏng yếu và không cân_đối cong vênh nam_châm yếu và con cờ xấu gỗ tệ
1,voucher đâu sao không thấy
1,không thấy đc tặng gối không hiểu cửa_hàng bán hàng kiểu gì đăng hàng ghi đc tặng mà giao lại không có_nhân_viên thì đổ lỗi cho lazada
1,nhận hàng xong thất_vọng luôn vì nhìn chất_lượng kém bụi bẩn không còn nguyên_vẹn và đến giờ mình vẫn không dám cho con dùng
1,tôi đánh_giá sao cho sản_phẩm giao đên tay khách_hàng ntnay
1,ngon lắm
1,hàng không giao mà báo qua emai là giao thành_công cửa_hàng làm_ăn quái đảng
1,mua màu đỏ gởi màu vàng
1,chai nước éo giống trong hình cửa_hàng lừa_đảo
1,sao lai bán sữa hết hạn sử_dụng thế cửa_hàng
1,gủi địa_chỉ cho mình
1,chưa đủ tuần điều_khiển không được nữa
1,chưa dùng nên không đánh_giá chất_lượng nhưng lắc thấy loãng như nước_lã chứ không phải sữa đặc không đường như pr nếu_như này mua sữa lốc vinamilk không đường còn tin_tưởng hơn
1,sữa lỏng như sữa_tươi làm_sao pha cà_phê sữa nếu so với sữa_tươi thì giá quá đắc
1,hàng giai bị bể hàng nhìn từ inox cho tới nhựa chất_lượng kém mua về không giám dùng có trả hàng đc không
1,không tốt mở hộp bị sứt bánh với đồ chán gió bị gãy mao hết pin
1,mua sản_phẩm cửa_hàng giao chỉ có sản_phẩm đã phản_hồi nhưng cửa_hàng trả_lời quá chậm thất_vọng
1,vì thấy có tặng gấu bông nên mới đặt mà giao đến lại không có gấu gì cả lần sau không đặt nữa đâu nhé
1,không goi gi het nhan hang ai cung cuoi que qua_di
1,hàng chất_lượng rất thấp bị trầy_xước nhiều sẽ trả lại hàng
1,cửa_hàng đã giao hàng hay chưa thì mình không biết là mình chưa từng được thấy hàng cửa_hàng thì trả_lời như hình còn lazada hẹn ngày tới giờ tháng không thấy gì hãm cả đôi
1,nhận thiếu tới tận gói là sao v ạ trong khi mình đã trả đủ tiền
1,ghi có qà tặng mà_lại không có
1,gon đẹp san pham chat luong bonh thuong nhung gia hoi cao
1,nhìn thì đẹp nhưng sử_dụng không tiện_lợi lắc mãi không ra đc mì_chính
1,không sử_dụng đươc quá tệ
1,tôi mua chỗ bào mà không được tả vẫn như nhau mua tận bịt muốn quà mà không có dù cái quá thất_vọng mọi người đừng mua chỗ này nữa
1,cửa_hàng chơi_chữ hình minh_họa có dòng số_lượng quà tặng rất nhỏ góc phải trên cùng thì ai để_ý được mua bịch tã mà không được tặng cái gối nào thất_vọng nên sao nhé cửa_hàng
1,giao hàng bể nát
1,giao hàng bị bể nhung nhan tin cho cửa_hàng đã đọc nhung không phản_hồi cho khách_hàng để giải_quyết
1,mua vì đc tặng cái gối giao thì chẳng có gọi thì nói số_lượng có_hạn lần nào mua ở lazada cũng bị đủ lý_do
1,dòng chữ số_lượng có_hạn quá nhỏ dễ gây hiểu nhầm là cứ mua sẽ được quà làm_ăn như_vậy giống chụp_giật tôi sẽ không mua thêm nữa
1,lầm
1,thất_vọng vừa nhận hàng là bể tân_nát
1,thì cũng y_như mặc quần bình_thường tè lần đã ướt hết nệm
1,ướt hết không nên mua phí tiền
