stars,comment
1,máy mới sạc chưa sài mà đã hết pin cảm_ứng rất chậm
5,máy bền_bé làm rơi nhiều lần mà không bị hỏng
3,nhưng khi chơi game nhẹ thì tốt game nặng giật tung đít với các chip lõi mà yếu hơn cả chip lõi snapdragon ae chơi game không nên mua mặc_dù thông_số là thật đã kiểm_tra bằn phần mền untutu không điểm nhưng liên_quân low seeting vẫn tụt fps
3,tôi dùng con này hơn năm rồi rớt mấy lần mà bây_giờ vẫn xài tốt hồi trước mua_triệu luôn nhược_điểm là bộ_nhớ trong quá ít gb mà hệ_thống chiếm hết hơn còn trống có gb là cao hệ điều_hành không update gì hết là không up lên được nữa
1,nhận máy xong thật_sự thất_vọng về chất_lượng kiểm_tra xong thấy máy bị hở ở mép màn_hình tem bảo_hành cũng rách luôn cửa_hàng trả_lời là lỗi do người sử_dụng do nhận máy đã ngày rồi thôi thì lỗi của mình ham giảm_giá và mở_hàng ra chậm_trễ đăng lên để người mua sau biết mà tránh mua hàng củ qua mạng nên đi mua trực_tiếp cho yên_tâm về chất_lượng
1,chay con thua cai_may cui chip nhan g nữa thấy chíp nhân g ram mua về chơi lien quân cho đã mua zìa máy nhu_lo thua cái máy cui bap chip nhân cùi_t hic hic tình_hình là sản_phẩm hàng nhái mà không đc đổi trã hiễu anh_em làm_ăn luôn bye bye lazada
5,máy chất_lượng kém mua dược ngay loa đã rè bin nhanh hết
5,hiện_tại máy mình dùng thử thấy hay bị lỗi kết_nối_mạng wifi đang online thì bị offline rồi một lúc sau thì lại vào được wifi nhà mình ổn_định đã kiểm_tra trên các thiết_bị khác nhưng không bị mất kết_nối cửa_hàng check giúp
1,mình mua hàng của lazada cũng nhiều nhưng dạo này hàng xấu và lỗi không mua điện_thoại thì giao điện_thoại cũ hàng này thì không xóa được
5,hang tuongdoi tot nhung phanmem cửa_hàng nam o dau vayshopco lua gatphai không
5,chụp hình hơi xấu máy chậm thua samsung lâu hết pin
4,pin máy chỉ dùng trong tieng là hết pin mình nghĩ là khoản không phải dau
3,i am very upset i did not see in your product description that this tablet is only for the chinese market now i need to try hard to install the global version for use
1,sản_phẩm mau hết pin trung_bình tụt pin trong giờ khi ở chế_độ chời nhắn_tin với cửa_hàng thì cửa_hàng không bao_giờ xem
5,máy mượt pin trâu mỗi_tội cài chplay với tiếng việt khó quá giờ vẫn chưa cài đc
5,sản_phẩm tốt đúng như mô_tả
5,giá này quá tốt rồi chơi game tầm trung thôi nhưng giải_trí phim nhạc web quá tốt
4,sản_phẩm nguyên seal chất_lượng cần thời_gian để đánh_giá
5,máy mới nên mọi thứ đều tốt cám_ơn cửa_hàng
3,máy nguyên seal đẹp nhưng kính cường_lực kèm theo đã nứt
2,không sai duoc sim vietnamobile
5,hết pin sạc không vô và mở máy không được vậy phải làm_sao
5,hình_ảnh màu_sắc o đẹp hơi loạn cảm_ứng phí tiền quá ngu thật thôi coi như mua về làm đồ_chơi cho bé nghịch
4,đóng_gói cẩn_thận máy hơi ọp_ẹp loa chất_lượng kém màn_hình ổn camera yếu nói_chung tiền nào của ấy tốt trong tầm giá
4,tốt gia tien phu_hop soi sản_phẩm
1,on the fourth day the tablet died
5,toi muon tra hang hang bi_loi
5,máy sài tốt sử_dụng rất tốt cảm_ơn cửa_hàng nhìu
5,gọi điện_báo đơn hàng dặn kỹ nhưng dao là máy cũ sước mặt nhiều bưc hết cả mình
5,tot lm cửa_hàng oi
5,tệ hàng bị lỗi không xài được
5,giao hàng nhanh ngay ruoi là nhận được hàng rồi máy chạy tốt màn_hình rõ nét tốt cửa_hàng nhưng loa hơi nhỏ
5,hàng ôm có cái là độ sắc nét không được đẹp
5,nhìn_chung tốt nhung hok bjk lăp sim cho nao
5,đẹp và tốt
4,mình đã nhận hàng nhưng khi mở khe sim ra thì đã có sẵn sim trong đó mình đã nhận hàng nhưng khi mở khe sim ra thì đã có sẵn sim trong đó còn lại mình đang dùng nên chưa đánh_giá được giao hàng nhanh
5,máy ngon pin trâu bắt sóng tốt mọi thứ gần như hoàn_hảo ngoại_trừ màn_hình hơi nhạt chân_thực không đc nịnh mắt như các sản_phẩm khác
5,hàng mới nguyên seal đã dùng được ngày và rất hài_lòng về sản_phẩm
4,sản_phẩm nguyên seal giao hàng lâu
5,rất tốt máy nguyên seal mô_tả như hình giao hag nhah
5,lần này giao nhanh
5,sản_phẩm tốt
5,item ordered is xiaomi mipad lte
5,hàng giao đúng như mô_tả mẫu_mã đẹp chất_lượng tạm ổn chờ trải nghiệm thêm
5,sản_phẩm tốt đúng như những gì cửa_hàng nêu muốn sử_dụng văn_bản phải cài office hơi mất_công máy chạy ổn độ bền chưa biết nhân_viên nhiệt_tình hướng_dẫn cảm_ơn
5,máy_tính bảng máy đẹp quá coi phim quá đã máy mượt_mà cửa_hàng bán hàng có tâm
5,sac không vô củ sac samsung không sac được
5,máy nguyên siu hàng dùng tốt trong tầm giá
5,máy sài thì tốt nhưng tải game không được cửa_hàng ơi
5,rất tốt đúng mẫu đặt_hàng
5,đã nhận hàng máy đẹp pin xài lâu chơi liên_minh mượt_mà đáng tiền cám_ơn lazada
5,qua ngon cảm_ơn cửa_hàng nha_co gi lan sau ae mua tiep
5,tốt hang tốt
5,máy hư_không hoạt_động cảm_ứng bị đơ kết_nối wi fi không được mà không cho đổi làm mất qui tính lazada
1,máy rất cham và không mở được màng hình lên liên nữa hay bị đứng máy cả ngày không chơi gì hết mà nó cứ kêu_vậy hoài
1,trả hàng lại nhưng không nhận được tiền vì báo lại là do mình đóng_gói không cẩn_thận bị vỡ nên mình không nhận lại được tiền coi như là mất gần tr
5,muốn được đổi lại
1,mau hết pin
5,máy đẹp cảm_ứng mượt máy rẻ nhưng chất_lượng không rẻ rất hài_lòng mấy comment chê thì mấy bạn này nên mua máy_triệu mà dùng tiền it mà đòi hit thơm
1,máy gì mà mau hết bin quá xài chán lắm
4,máy chỉ hơi lag chút còn lại tốt
5,love my new kindle fire cảm_ơn
4,sản_phẩm tốt bọc kĩ_càng tuy_nhiên giao bị chậm
5,sản_phẩm đúng mô_tả giao hàng nhanh
5,không tải game vn được haizz
5,mới sử_dụng trước_mắt cho sao
5,không cần nói nhiều đúng như quảng_cáo hàng chính hãng nguyên seal
5,màn_hình sắc nét không khá bự máy full tiếng việt chạy mượt giá lại quá rẻ phụ_kiện đầy_đủ sạc cáp dán màn_bao da đủ dùng luôn cửa_hàng này làm_ăn có tâm cần phát_huy tết sẽ cố gom tiền mua thêm máy về làm_quà tặng cho gia_đình
5,máy ổn màn_hình nét chạy mượt camera hơi xước nhưng chụp ảnh không bị ảnh_hưởng pin trâu nói chung chất_lượng ổn đáng tiền giá lại rẻ
5,dùng được tuần máy vẫn ổn chạy mượt
5,máy dẹp tốt rẻ
5,máy quá tốt trong tầm giá cám_ơn cửa_hàng tặng thêm bàn_phím
5,mép màn_hình đường viền bị gẫy điểm
3,máy tốt giao hàng trước thời_hạn dự_kiến nhưng có vấn_đề máy không gọi điện được mặc_dù xem phần cài_đặt có thấy cài_đặt gọi điện tai_nghe âm_lượng rất nhỏ không_thể sử_dụng đươc đề_nghị nhà cung_cấp xem_xét
5,máy chưa sd nên chưa bình_thường không có phiếu bảo_hành và phieu trả hàng vãi máy bị công vênh ở gốc trả hang thj không co phiếu làm_ăn mất uy_tín
5,máy tốt giao hàng trước thời_hạn dự_kiến nhưng có vấn_đề máy không gọi điện được mặc_dù xem phần cài_đặt có thấy cài_đặt gọi điện tai_nghe âm_lượng rất nhỏ không_thể sử_dụng đươc đề_nghị nhà cung_cấp xem_xét
5,sản_phẩm_chất_lượng tốt đầy_đủ phụ_kiện giao hàng nhanh_chóng
5,sản_phẩm_chất_lượng rất tốt dùng cho các con học tiếng anh tốt loa chuẩn
5,ngon thì có ngon thật nhưng không nghe gọi được gì hết
5,máy còn mới lắm chất_lượng thì chưa sử_dụng nhiều đợi time nữa xem sao
3,may đẹp
4,đóng_gói cẩn_thận giao hàng nhanh sản_phẩm đẹp chỉ hơi trầy_xước chút_ít cửa_hàng uy_tín
3,may tam_on nhung nhanh het_pin su dung khoang nua tieng la may nong qua minh muon doi may khac nhe
1,đặt_hàng huawei nhưng giao lenovo t_s giá còn không tương_đương đã vậy còn không cho kiểm hàng
1,đặt inch giao inch
5,hình_ảnh khác hơn với bên ngoàil còn toàn mọi thứ ổn mỗi cái pin nhanh hết thêa
3,cửa_hàng cho hỏi sao máy không nhận sim_vậy tôi đang cần trợ_giúp
5,may bi loipin hay bi sap nguon
5,máy mua về mới dùng ngày đã hỏng gửi vào để đổi thì không trả lại máy đề_nghị xem_lại phương_thức làm_ăn
5,hàng rất tốt máy mới nguyên cảm_ứng nhạy đẹp pin tốt âm_thanh quá tuyệt giá hợp_lý bình_dân cảm_ơn lazada và cảm_ơn cửa_hàng
5,sản_phẩm đẹp đúng mô_tả
5,máy sử_dụng rất tốt cho d
5,máy chạy mượt_mà đẹp
5,hàng đúng quảng_cáo đóng_gói cẩn_thận
5,đánh_giá rồi không biết có được tặng tai_nghe như cửa_hàng nói không hihihi
5,sản_phẩm tốt
5,sản_phẩm giống mô_tả âm_thanh ổn wifi tốt mọi thứ đều ổn
1,máy không dùng mạng_di_động của việt nam đc mà phải mua code nước_ngoài rất đắt nhưng cửa_hàng không hề nói cho khách_hàng biết
5,máy chất_lượng rất tốt chúc cửa_hàng có nhiều sản_phẩm tốt hơn_nữa
5,đang dùng dung_lượng hơi nhỏ hạn_chế tải game
5,giao máy còn đệp coi youtube nhanh tjank
5,không có củ_sạc của nó thì dùng thế_nào vứt máy đi à bán cho tôi cục sạc tiếp tôi trả thêm tiền
5,mình đặt máy_tính bảng lenovo t_s mà sop lại gửi máy khác mình đã gửi lại đổi đúng máy mình đặt không biết lúc_nào mới nhận được vậy
1,this is a scam they don t_send a lenovo they send a shangbaixing do not buy the lenovo scam liar s they send a piece of junk
1,tôi cân đoi lai mây bi lôi muôn gửi lai giờ lam_j
3,hàng dùng được tuy_nhiên cửa_hàng gửi không đúng dây sạc làm phải đi ra ngoài tìm mua dây khác
5,máy chạy tốt chơi game mượt
5,giao hàng nhanh máy tốt cảm_ơn cửa_hàng
5,lazada giao hàng cực nhanh nhân_viên nhiệt_tình dù phải đứng đợi mình về giữa trưa nắng quan_trọng là sản_phẩm rất tốt với một người chuyên cày như mình vừa phục_vụ cho giải_trí vừa phục_vụ cho việc dạy_học đáng để_dành nửa tháng_lương
5,cảm_ơn for sending quickly i ordered it today morning and then received it tonight i am doing the setting now it is working very well
5,sản_phẩm giao hàng rất nhanh tôi rất hài_lòng với sản_phẩm nguyên seal nguyên kiện ngay cả từ_điển cũng không có luôn
5,fast delivery product perfect very happy with the service and my new_kindle
5,standard waterproof kindle all tốt
