stars,comment
3.0,ok
1.0,máy mới sạc chưa sài mà đã hết pin  cảm ứng rất chậm
5.0,máy bền  bé làm rơi nhiều lần mà không bị hỏng 
3.0,nhưng khi chơi game nhẹ thì ok game nặng giật tung đít  với các chip  lõi mà yếu hơn cả chip   lõi snapdragon         ae chơi game không nên mua mặc dù thông số là thật đã kiểm tra bằn phần  mền untutu   k điểm nhưng liên quân low seeting vẫn tụt fps   
3.0,tôi dùng con này hơn   năm rồi  rớt mấy lần mà bây giờ vẫn xài tốt  hồi trước mua   triệu   luôn     nhược điểm là bộ nhớ trong quá ít  gb mà hệ thống chiếm hết hơn     còn trống có  gb là cao  hệ điều hành ko update gì hết      là ko up lên được nữa
1.0,nhận máy xong thật sự thất vọng về chất lượng  kiểm tra xong thấy máy bị hở ở mép màn hình  tem bảo hành cũng rách luôn  shop trả lời là lỗi do người sử dụng do nhận máy đã   ngày rồi  thôi thì lỗi của mình ham giảm giá và mở hàng ra chậm trễ  đăng lên để người mua sau biết mà tránh mua hàng củ qua mạng  nên đi mua trực tiếp cho yên tâm về chất lượng 
1.0,chay con thua cai may cui chip   nhan    g nữa  thấy chíp   nhân  g ram mua về chơi lien quân cho đã  mua zìa máy nhu lo   thua cái máy cui bap chip   nhân cùi t  hic hic    tình hình là sản phẩm hàng nhái mà không đc đổi trã  hiễu anh em làm ăn luôn  bye bye lazada  
5.0,máy chất lượng kém mua dược  ngay loa đã rè bin nhanh hết
5.0,hiện tại máy mình dùng thử thấy hay bị lỗi kết nối mạng wifi  đang online thì bị offline rồi một lúc sau thì lại vào được  wifi nhà m ổn định  đã kiểm tra trên các thiết bị khác nhưng không bị mất kết nối  shop check giúp 
1.0,mình mua hàng của lazada cũng nhiều nhưng dạo này hàng xấu và lỗi ko  mua điện thoại  thì giao điện thoại cũ  hàng này thì ko xóa dc    
5.0,hang tuongdoi tot nhung phanmem shop nam o dau vayshopco lua gatphai khong
5.0,      
5.0,chụp hình hơi xấu máy chậm thua samsung lâu hết pin
4.0,pin máy chỉ dùng trong  tieng là hết pin mình nghĩ là khoản      không phải      dau
3.0,i am very upset   i did not see in your product description that this tablet is only for the chinese market   now i need to try hard to install the global version for use   
1.0,sp mau hết pin  trung bình tụt    pin trong   giờ khi ở chế độ chời nt với shop thì shop không bao giờ xem 
5.0,máy mượt pin trâu  mỗi tội cài chplay với tiếng việt khó quá  giờ vẫn chưa cài đc
5.0,sp tốt đúng như mô tả
5.0,giá này quá ok rồi  chơi game tầm trung thôi nhưng giải trí phim  nhạc  web quá ok 
4.0,sản phẩm nguyên seal chất lượng cần thời gian để đánh giá
5.0,máy mới nên mọi thứ đều tốt   cám ơn shop 
3.0,máy nguyên seal  đẹp nhưng kính cường lực kèm theo đã nứt 
2.0,khong sai duoc sim vietnamobile
5.0,hết pin sạc không vô và mở máy không được vậy phải làm sao 
5.0,hình ảnh màu sắc o đẹp   hơi loạn cảm ứng    phí tiền quá  ngu thật  thôi coi như mua về làm đồ chơi cho bé nghịch
4.0,đóng gói cẩn thận  máy hơi ọp ẹp  loa chất lượng kém    màn hình ổn  camera yếu   nói chung tiền nào của ấy   tốt trong tầm giá 
4.0,ok gia tien phu hop soi sp
1.0,on the fourth day the tablet died 
5.0,toi muon tra hang hang bi loi
5.0,máy sài tốt sử dụng rất ok cảm ơn shop nhìu
5.0,gọi điện báo đơn hàng dặn kỹ nhưng dao là máy cũ sước mặt nhiều  bưc hết cả mình
5.0,tot lm shop oi
5.0,tệ    hàng bị lỗi ko xài được
5.0,giao hàng nhanh    ngay ruoi là nhận dc hàng r    máy chạy tốt   màn hình rõ nét   ok shop  nhưng loa hơi nhỏ  
5.0,hàng ôm có cái là độ sắc nét k được đẹp
5.0,nhìn chung ok nhung hok bjk lăp sim cho nao
5.0,đẹp và ok 
4.0,mình đã nhận hàng nhưng khi mở khe sim ra thì đã có sẵn   sim trong đó mình đã nhận hàng nhưng khi mở khe sim ra thì đã có sẵn   sim trong đó còn lại mình đang dùng nên chưa đánh giá được  giao hàng nhanh
5.0,máy ngon pin trâu bắt sóng tốt mọi thứ gần như hoàn hảo ngoại trừ màn hình hơi nhạt  chân thực  không đc nịnh mắt như các sản phẩm khác 
5.0,hàng mới nguyên seal       đã dùng được   ngày và rất hài lòng về sản phẩm 
4.0,sản phẩm nguyên seal  giao hàng lâu
5.0,rất good   máy nguyên seal   mô tả như hình  giao hag  nhah
5.0,lần này giao nhanh
5.0,sản phẩm tốt  
5.0,item ordered is xiaomi mipad   lte  
5.0,tốt  
5.0,ok
5.0,hàng giao đúng như mô tả  mẫu mã đẹp  chất lượng tạm ổn  chờ trải nghiệm thêm
5.0,sản phẩm ok  đúng như những gì shop nêu  muốn sử dụng văn bản phải cài office hơi mất công  máy chạy ổn  độ bền chưa biết    nhân viên nhiệt tình hướng dẫn  cảm ơn   
5.0,máy tính bảng máy đẹp quá   coi phim quá đã  máy mượt mà   shop bán hàng có tâm
5.0,sac ko vô   củ sac samsung  ko sac dc  
5.0,        
5.0,máy nguyên siu hàng dùng tốt trong tầm giá
5.0,máy sài thì ok    nhưng tải game k dc shop ơi
5.0,rất ok  đúng mẫu đặt hàng
5.0,đã nhận hàng  máy đẹp   pin xài lâu  chơi liên minh mượt mà     đáng tiền  cám ơn lazada
5.0,qua ngon thank shop nha co gi lan sau ae mua tiep
5.0,ok hang ok 
5.0,máy hư ko hoạt động cảm ứng bị đơ kết nối wi fi ko được mà ko cho đổi làm mất qui tính lazada
1.0,máy rất cham và kg mở được màng hình lên liên nữa hay bị đứng máy   cả ngày kg chơi gì hết mà nó cứ kêu vậy hoài
1.0,trả hàng lại nhưng k nhận được tiền vì báo lại là do mình đóng gói k cẩn thận bị vỡ nên mình k nhận lại được tiền   coi như là mất gần   tr
5.0,muốn được đổi lại
1.0,mau hết pin
5.0,máy đẹp  cảm ứng mượt  máy rẻ nhưng chất lượng không rẻ rất hài lòng   mấy comment chê thì mấy bạn này nên mua máy      triệu mà dùng  tiền it mà đòi hit     thơm
1.0,tệ
1.0,máy gì mà mau hết bin quá  xài chán lắm 
4.0,máy chỉ hơi lag   chút  còn lại ok
5.0,love my new kindle fire    thanks   
4.0,sản phẩm tốt  bọc kĩ càng  tuy nhiên giao bị chậm 
5.0,sản phẩm đúng mô tả  giao hàng nhanh 
5.0,ko tải game vn dc haizz
5.0,mới sử dụng trước mắt cho   sao 
5.0,không cần nói nhiều  đúng như quảng cáo  hàng chính hãng  nguyên seal
5.0,màn hình sắc nét  k  khá bự  máy full tiếng việt chạy mượt  giá lại quá rẻ  phụ kiện đầy đủ sạc  cáp  dán màn  bao da  đủ dùng luôn  shop này làm ăn có tâm  cần phát huy  tết sẽ cố gom tiền mua thêm   máy về làm quà tặng cho gia đình
